age,weight,height,gender,activity_level,goal,target_calories,protein_ratio,carb_ratio,fat_ratio,exercise_intensity
56,91.3855397716667,193.99593329687875,male,moderate,gain,2854.241985168179,0.3852346231751582,0.38699201529826643,0.22777336152657535,3.0985788222460897
46,99.99096428334516,169.0058550332722,male,extra,gain,4002.617785880419,0.31114420503867724,0.38437868806034214,0.3044771069009806,4.467967047935167
32,112.27544600429376,193.50848976307051,female,sedentary,loss,2168.0176845390733,0.358677849578997,0.4614477500974117,0.17987440032359137,1.3417389667927075
60,123.67453423166918,179.2393378124703,male,light,loss,2433.3036816613435,0.4122854900446187,0.42474176635493155,0.16297274360044972,1.685335488617318
25,102.03895071867863,175.20424772980832,male,extra,gain,3847.769925790746,0.25488147248336657,0.48765206745763257,0.2574664600590008,3.748013678243468
38,111.39006309343698,178.78018577763578,male,extra,gain,3601.2024818969567,0.2585486526379001,0.41937245858176175,0.3220788887803381,4.056378043772867
56,96.75089152505413,168.38521126615558,male,extra,loss,3223.4803862762724,0.3229479681498358,0.5494594332892162,0.12759259856094796,3.8633721744560887
36,129.73049374359718,185.92413405411781,male,light,loss,3075.1996416039647,0.23378211407286453,0.6533509926749806,0.11286689325215482,1.8516584501534146
40,140.75996670933327,179.94720015613584,male,moderate,gain,4226.565157534688,0.24791967720836197,0.49351486783759646,0.25856545495404154,2.970945485259772
28,139.13923786732482,201.40584125636968,female,extra,loss,4437.076183062616,0.4657215851892524,0.3736384082808889,0.16064000652985874,3.82188923986165
28,129.47469325729207,186.40938592133614,male,extra,gain,4586.096271194978,0.2590569441108924,0.4023566265747216,0.33858642931438593,3.442198068125945
41,127.93764935680392,182.80172748318532,male,extra,gain,4977.199523418513,0.2785956744929571,0.4744867710753009,0.24691755443174201,4.060845994419815
53,83.92180713395196,174.0700165939587,male,extra,gain,3205.4549726530227,0.33893696665962636,0.38966040121007106,0.2714026321303026,4.765808637084413
57,117.65759848330158,185.72071710698526,female,sedentary,loss,1882.5362760858047,0.29007217228142124,0.517556325854155,0.19237150186442378,2.7905872384748447
41,107.55861064510138,203.53448952699478,male,sedentary,gain,2619.0403873616274,0.37429023184244054,0.339617914145114,0.28609185401244547,2.40177119678074
20,128.2069954156735,205.4731902170364,female,sedentary,loss,1781.7387671201664,0.3710326631976841,0.32501591267678265,0.3039514241255332,1.5645652394791978
39,76.93603186478006,186.35259592197764,female,moderate,loss,2255.605497967398,0.35923107099453394,0.48099381880201697,0.15977511020344906,2.8573141131430164
19,117.89451554155268,189.30491640432987,female,extra,gain,3484.018175870011,0.30198265133651125,0.427414856022438,0.2706024926410508,5.0
41,111.78334324251396,197.02902686302912,female,extra,loss,3394.4091300000136,0.4215448331523897,0.42840144090025734,0.15005372594735295,3.909026502616226
61,131.77644899397106,179.74459040375962,female,extra,gain,4078.6261092423933,0.2569302074450568,0.5039463150863004,0.23912347746864276,4.485994296436201
47,138.21980580512107,193.69061382217433,male,extra,loss,4959.53387829761,0.3910507104935905,0.4443304695852477,0.16461881992116176,3.9817627107293485
55,101.06730974480848,213.66729303753343,male,light,gain,2734.4748957792217,0.3128722846745995,0.36272276663090885,0.32440494869449166,2.1507783936020157
19,101.74434346154777,197.65113867396954,male,light,gain,3170.775380744881,0.2966113640509824,0.44370955060099315,0.2596790853480244,2.8333473933623874
38,118.4574493181757,197.33217533547577,male,light,gain,3522.148816911771,0.24839826035685597,0.5312575176857808,0.2203442219573632,2.611500851547479
50,141.00644037282314,203.43813113461286,female,extra,gain,4698.133786899058,0.20848061920224567,0.4887403368529869,0.30277904394476746,3.7885661739659073
29,115.90217015924524,199.03784137824266,female,light,gain,2866.494370698323,0.35217361440013145,0.34875762857286574,0.29906875702700275,1.945800413599931
39,95.81257876968505,187.4718068467216,female,light,loss,2023.843026555296,0.3196581496696886,0.5173640299534773,0.1629778203768341,1.8217632348669053
61,105.91197330755061,178.20202390697528,female,moderate,loss,2070.769147497349,0.3201177640086067,0.43583501288650095,0.2440472231048923,3.0519201896012818
42,118.03996246695192,188.66505919932155,female,moderate,gain,2966.919607230748,0.2685356152313596,0.5424913064852117,0.1889730782834287,2.96206378142308
44,118.60303642845935,180.30318634053134,female,light,loss,2468.4670572091773,0.3647951430569888,0.4300596925498492,0.20514516439316194,1.261134307443168
59,104.4386854661144,187.18121471554946,male,light,loss,2439.586425698698,0.3523046167926642,0.4425126827443193,0.20518270046301648,1.4258225557268231
45,105.61313959330568,181.28752525853233,male,moderate,gain,3212.9935068992622,0.25424304941841624,0.5296377445343556,0.21611920604722817,2.148913329408264
33,100.27648008165403,186.10128867113718,male,light,gain,2382.9434408696934,0.4079374495917436,0.3320591650250979,0.2600033853831585,2.5726046251891375
32,132.11756775780694,175.14674068224363,male,extra,gain,4366.212314452612,0.291137658627583,0.5117743194013866,0.1970880219710304,4.3046038023886375
64,102.47837231059916,183.0668623398834,female,light,gain,2709.141912664466,0.32618252846405793,0.4236887904367377,0.25012868109920433,2.1492585285235046
61,108.02808694122574,194.05513119321722,female,extra,gain,3512.528426703279,0.3519353119286792,0.4662564899909516,0.1818081980803692,3.6015302982682424
20,107.60120625214071,196.57937907483108,female,light,loss,2258.424785903902,0.28691025363705486,0.5897970548596575,0.12329269150328763,1.8900419627344944
54,90.91064128726913,194.40944187194074,male,sedentary,loss,1655.4882205758026,0.34201408757663204,0.4573347829507617,0.20065112947260624,2.302929278053243
